COUNTY,CLINTON,TRUMP,JOHNSON,STEIN,2016 MARGIN,POPULATION
Philadelphia,0.824,0.155,0.01,0.009,D +67,1546920
Allegheny,0.564,0.4,0.025,0.008,D +16,1229172
Montgomery,0.587,0.376,0.025,0.009,D +21,809372
Bucks,0.484,0.478,0.025,0.009,D +1,626205
Delaware,0.594,0.374,0.02,0.009,D +22,560775
Lancaster,0.377,0.573,0.035,0.008,R +20,526839
Chester,0.526,0.433,0.029,0.008,D +9,506422
York,0.332,0.625,0.031,0.008,R +29,438052
Berks,0.427,0.529,0.029,0.011,R +10,413016
Westmoreland,0.327,0.641,0.024,0.005,R +31,362587
Lehigh,0.504,0.459,0.025,0.009,D +4,354537
Luzerne,0.388,0.584,0.017,0.009,R +20,320392
Northampton,0.462,0.5,0.026,0.01,R +4,299225
Erie,0.468,0.488,0.031,0.009,R +2,280132
Dauphin,0.494,0.466,0.027,0.009,D +3,269946
Cumberland,0.385,0.571,0.032,0.008,R +19,239420
Lackawanna,0.502,0.468,0.019,0.009,D +3,214023
Washington,0.355,0.608,0.026,0.007,R +25,208157
Butler,0.292,0.667,0.031,0.006,R +38,185034
Beaver,0.382,0.583,0.024,0.006,R +20,170124
Monroe,0.484,0.481,0.021,0.011,D +0,168342
Centre,0.485,0.466,0.035,0.01,D +2,156240
Franklin,0.25,0.715,0.024,0.006,R +46,151517
Schuylkill,0.267,0.7,0.022,0.007,R +43,147146
Cambria,0.296,0.673,0.02,0.007,R +38,140835
Fayette,0.334,0.644,0.016,0.004,R +31,135376
Lebanon,0.303,0.659,0.026,0.007,R +36,135184
Blair,0.252,0.715,0.023,0.006,R +46,126708
Lycoming,0.257,0.705,0.026,0.008,R +45,116676
Mercer,0.356,0.606,0.026,0.008,R +25,115739
Adams,0.299,0.663,0.026,0.008,R +36,101566
Northumberland,0.263,0.698,0.026,0.008,R +44,94294
Lawrence,0.344,0.624,0.021,0.006,R +28,89859
Indiana,0.304,0.661,0.024,0.006,R +36,88301
Crawford,0.287,0.672,0.028,0.007,R +39,87801
Clearfield,0.236,0.731,0.023,0.006,R +50,81472
Somerset,0.206,0.765,0.019,0.005,R +56,77011
Armstrong,0.225,0.745,0.022,0.004,R +52,68343
Columbia,0.313,0.641,0.031,0.01,R +33,67089
Carbon,0.31,0.652,0.024,0.009,R +34,64874
Bradford,0.247,0.707,0.034,0.005,R +46,62510
Pike,0.355,0.615,0.019,0.009,R +26,56883
Venango,0.267,0.69,0.031,0.006,R +42,54265
Wayne,0.286,0.683,0.019,0.009,R +40,51967
Bedford,0.154,0.828,0.011,0.004,R +67,49332
Mifflin,0.195,0.77,0.026,0.004,R +57,46705
Huntingdon,0.23,0.737,0.021,0.005,R +51,45950
Perry,0.219,0.738,0.029,0.008,R +52,45788
Union,0.353,0.609,0.026,0.008,R +26,44955
Jefferson,0.185,0.783,0.022,0.006,R +60,44935
McKean,0.244,0.717,0.025,0.009,R +47,43024
Susquehanna,0.264,0.692,0.029,0.01,R +43,42708
Tioga,0.21,0.746,0.03,0.008,R +54,42358
Warren,0.274,0.683,0.03,0.007,R +41,41218
Snyder,0.244,0.717,0.028,0.007,R +47,39922
Clinton,0.305,0.654,0.03,0.008,R +35,39611
Clarion,0.243,0.718,0.027,0.007,R +47,39437
Greene,0.278,0.695,0.018,0.005,R +42,38171
Elk,0.263,0.7,0.027,0.006,R +44,31584
Wyoming,0.288,0.674,0.025,0.009,R +39,28229
Juniata,0.174,0.792,0.019,0.007,R +62,24793
Montour,0.334,0.618,0.034,0.008,R +28,18475
Potter,0.167,0.803,0.021,0.004,R +64,17451
Fulton,0.134,0.842,0.014,0.005,R +71,14747
Forest,0.261,0.701,0.025,0.008,R +44,7649
Sullivan,0.239,0.732,0.021,0.004,R +49,6400
Cameron,0.232,0.739,0.025,0.002,R +51,4939
